query,description,tables,joins,tables_parsed,joins_parsed
"SELECT t1.zip_code, t1.address, t1.city, MIN(t2.category_name) as min_category_name FROM project.dataset.locations t1 RIGHT JOIN project.dataset.categories t2 ON t1.location_id = t2.category_id GROUP BY t1.zip_code, t1.address, t1.city ORDER BY min_category_name ASC;","This SQL query selects zip_code, address, city from the locations table and computes the min of category_name from the categories table as min_category_name. It performs a right join join between the locations and categories tables on the relevant fields, groups the results by the selected columns, and orders the results by min_category_name in asc order.","['`project.dataset.locations`', '`project.dataset.categories`']","[{""left_table"": ""project.dataset.locations"", ""left_column"": ""location_id"", ""right_table"": ""project.dataset.categories"", ""right_column"": ""category_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""locations"", ""categories""]","[{""left_table"": ""locations"", ""right_table"": ""categories"", ""left_column"": ""location_id"", ""right_column"": ""category_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.description, t1.category_id, t1.category_name, COUNT(*) as count_preferred_contact_method FROM project.dataset.categories t1 RIGHT JOIN project.dataset.customer_contacts t2 ON t1.category_id = t2.customer_id GROUP BY t1.description, t1.category_id, t1.category_name ORDER BY count_preferred_contact_method DESC;","This SQL query selects description, category_id, category_name from the categories table and computes the aggregate of all rows from the customer_contacts table as None. It performs a right join join between the categories and customer_contacts tables on the relevant fields, groups the results by the selected columns, and orders the results by count_preferred_contact_method in desc order.","['`project.dataset.categories`', '`project.dataset.customer_contacts`']","[{""left_table"": ""project.dataset.categories"", ""left_column"": ""category_id"", ""right_table"": ""project.dataset.customer_contacts"", ""right_column"": ""customer_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""categories"", ""customer_contacts""]","[{""left_table"": ""categories"", ""right_table"": ""customer_contacts"", ""left_column"": ""category_id"", ""right_column"": ""customer_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.payment_date, t1.order_id, MIN(t2.movement_type) as min_movement_type FROM project.dataset.payments t1 LEFT JOIN project.dataset.inventory_movements t2 ON t1.payment_id = t2.inventory_id GROUP BY t1.payment_date, t1.order_id ORDER BY min_movement_type DESC;","This SQL query selects payment_date, order_id from the payments table and computes the min of movement_type from the inventory_movements table as min_movement_type. It performs a left join join between the payments and inventory_movements tables on the relevant fields, groups the results by the selected columns, and orders the results by min_movement_type in desc order.","['`project.dataset.payments`', '`project.dataset.inventory_movements`']","[{""left_table"": ""project.dataset.payments"", ""left_column"": ""payment_id"", ""right_table"": ""project.dataset.inventory_movements"", ""right_column"": ""inventory_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""payments"", ""inventory_movements""]","[{""left_table"": ""payments"", ""right_table"": ""inventory_movements"", ""left_column"": ""payment_id"", ""right_column"": ""inventory_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.customer_id, t1.order_date, MAX(t2.hire_date) as max_hire_date FROM project.dataset.orders t1 INNER JOIN project.dataset.employees t2 ON t1.order_id = t2.department_id GROUP BY t1.customer_id, t1.order_date ORDER BY t1.order_date ASC;","This SQL query selects customer_id, order_date from the orders table and computes the max of hire_date from the employees table as max_hire_date. It performs a inner join join between the orders and employees tables on the relevant fields, groups the results by the selected columns, and orders the results by order_date in asc order.","['`project.dataset.orders`', '`project.dataset.employees`']","[{""left_table"": ""project.dataset.orders"", ""left_column"": ""order_id"", ""right_table"": ""project.dataset.employees"", ""right_column"": ""department_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""orders"", ""employees""]","[{""left_table"": ""orders"", ""right_table"": ""employees"", ""left_column"": ""order_id"", ""right_column"": ""department_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.movement_id, t1.movement_type, COUNT(*) as count_city FROM project.dataset.inventory_movements t1 RIGHT JOIN project.dataset.locations t2 ON t1.inventory_id = t2.location_id GROUP BY t1.movement_id, t1.movement_type ORDER BY t1.movement_id ASC;","This SQL query selects movement_id, movement_type from the inventory_movements table and computes the aggregate of all rows from the locations table as None. It performs a right join join between the inventory_movements and locations tables on the relevant fields, groups the results by the selected columns, and orders the results by movement_id in asc order.","['`project.dataset.inventory_movements`', '`project.dataset.locations`']","[{""left_table"": ""project.dataset.inventory_movements"", ""left_column"": ""inventory_id"", ""right_table"": ""project.dataset.locations"", ""right_column"": ""location_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""inventory_movements"", ""locations""]","[{""left_table"": ""inventory_movements"", ""right_table"": ""locations"", ""left_column"": ""inventory_id"", ""right_column"": ""location_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.city, t1.supplier_id, MIN(t2.status) as min_status FROM project.dataset.suppliers t1 RIGHT JOIN project.dataset.return_orders t2 ON t1.supplier_id = t2.return_id GROUP BY t1.city, t1.supplier_id ORDER BY t1.supplier_id DESC;","This SQL query selects city, supplier_id from the suppliers table and computes the min of status from the return_orders table as min_status. It performs a right join join between the suppliers and return_orders tables on the relevant fields, groups the results by the selected columns, and orders the results by supplier_id in desc order.","['`project.dataset.suppliers`', '`project.dataset.return_orders`']","[{""left_table"": ""project.dataset.suppliers"", ""left_column"": ""supplier_id"", ""right_table"": ""project.dataset.return_orders"", ""right_column"": ""return_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""suppliers"", ""return_orders""]","[{""left_table"": ""suppliers"", ""right_table"": ""return_orders"", ""left_column"": ""supplier_id"", ""right_column"": ""return_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.stock, t1.category_id, SUM(t2.description) as sum_description FROM project.dataset.products t1 INNER JOIN project.dataset.categories t2 ON t1.category_id = t2.category_id GROUP BY t1.stock, t1.category_id ORDER BY sum_description DESC;","This SQL query selects stock, category_id from the products table and computes the sum of description from the categories table as sum_description. It performs a inner join join between the products and categories tables on the relevant fields, groups the results by the selected columns, and orders the results by sum_description in desc order.","['`project.dataset.products`', '`project.dataset.categories`']","[{""left_table"": ""project.dataset.products"", ""left_column"": ""category_id"", ""right_table"": ""project.dataset.categories"", ""right_column"": ""category_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""products"", ""categories""]","[{""left_table"": ""products"", ""right_table"": ""categories"", ""left_column"": ""category_id"", ""right_column"": ""category_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.supplier_name, t1.state, t1.supplier_id, COUNT(t2.movement_date) as count_movement_date FROM project.dataset.suppliers t1 INNER JOIN project.dataset.inventory_movements t2 ON t1.supplier_id = t2.inventory_id GROUP BY t1.supplier_name, t1.state, t1.supplier_id ORDER BY count_movement_date ASC;","This SQL query selects supplier_name, state, supplier_id from the suppliers table and computes the count of movement_date from the inventory_movements table as count_movement_date. It performs a inner join join between the suppliers and inventory_movements tables on the relevant fields, groups the results by the selected columns, and orders the results by count_movement_date in asc order.","['`project.dataset.suppliers`', '`project.dataset.inventory_movements`']","[{""left_table"": ""project.dataset.suppliers"", ""left_column"": ""supplier_id"", ""right_table"": ""project.dataset.inventory_movements"", ""right_column"": ""inventory_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""suppliers"", ""inventory_movements""]","[{""left_table"": ""suppliers"", ""right_table"": ""inventory_movements"", ""left_column"": ""supplier_id"", ""right_column"": ""inventory_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.stock, t1.category_id, COUNT(t2.phone) as count_phone FROM project.dataset.products t1 LEFT JOIN project.dataset.customer_contacts t2 ON t1.category_id = t2.contact_id GROUP BY t1.stock, t1.category_id ORDER BY count_phone DESC;","This SQL query selects stock, category_id from the products table and computes the count of phone from the customer_contacts table as count_phone. It performs a left join join between the products and customer_contacts tables on the relevant fields, groups the results by the selected columns, and orders the results by count_phone in desc order.","['`project.dataset.products`', '`project.dataset.customer_contacts`']","[{""left_table"": ""project.dataset.products"", ""left_column"": ""category_id"", ""right_table"": ""project.dataset.customer_contacts"", ""right_column"": ""contact_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""products"", ""customer_contacts""]","[{""left_table"": ""products"", ""right_table"": ""customer_contacts"", ""left_column"": ""category_id"", ""right_column"": ""contact_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.supplier_name, t1.city, MIN(t2.quantity) as min_quantity FROM project.dataset.suppliers t1 INNER JOIN project.dataset.inventory_movements t2 ON t1.supplier_id = t2.movement_id GROUP BY t1.supplier_name, t1.city ORDER BY min_quantity DESC;","This SQL query selects supplier_name, city from the suppliers table and computes the min of quantity from the inventory_movements table as min_quantity. It performs a inner join join between the suppliers and inventory_movements tables on the relevant fields, groups the results by the selected columns, and orders the results by min_quantity in desc order.","['`project.dataset.suppliers`', '`project.dataset.inventory_movements`']","[{""left_table"": ""project.dataset.suppliers"", ""left_column"": ""supplier_id"", ""right_table"": ""project.dataset.inventory_movements"", ""right_column"": ""movement_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""suppliers"", ""inventory_movements""]","[{""left_table"": ""suppliers"", ""right_table"": ""inventory_movements"", ""left_column"": ""supplier_id"", ""right_column"": ""movement_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.quantity, t1.movement_id, t1.inventory_id, MAX(t2.tracking_number) as max_tracking_number FROM project.dataset.inventory_movements t1 LEFT JOIN project.dataset.shipments t2 ON t1.movement_id = t2.shipment_id GROUP BY t1.quantity, t1.movement_id, t1.inventory_id ORDER BY max_tracking_number ASC;","This SQL query selects quantity, movement_id, inventory_id from the inventory_movements table and computes the max of tracking_number from the shipments table as max_tracking_number. It performs a left join join between the inventory_movements and shipments tables on the relevant fields, groups the results by the selected columns, and orders the results by max_tracking_number in asc order.","['`project.dataset.inventory_movements`', '`project.dataset.shipments`']","[{""left_table"": ""project.dataset.inventory_movements"", ""left_column"": ""movement_id"", ""right_table"": ""project.dataset.shipments"", ""right_column"": ""shipment_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""inventory_movements"", ""shipments""]","[{""left_table"": ""inventory_movements"", ""right_table"": ""shipments"", ""left_column"": ""movement_id"", ""right_column"": ""shipment_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.product_id, t1.inventory_id, COUNT(t2.category_name) as count_category_name FROM project.dataset.inventory t1 LEFT JOIN project.dataset.categories t2 ON t1.inventory_id = t2.category_id GROUP BY t1.product_id, t1.inventory_id ORDER BY count_category_name DESC;","This SQL query selects product_id, inventory_id from the inventory table and computes the count of category_name from the categories table as count_category_name. It performs a left join join between the inventory and categories tables on the relevant fields, groups the results by the selected columns, and orders the results by count_category_name in desc order.","['`project.dataset.inventory`', '`project.dataset.categories`']","[{""left_table"": ""project.dataset.inventory"", ""left_column"": ""inventory_id"", ""right_table"": ""project.dataset.categories"", ""right_column"": ""category_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""inventory"", ""categories""]","[{""left_table"": ""inventory"", ""right_table"": ""categories"", ""left_column"": ""inventory_id"", ""right_column"": ""category_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.unit_price, t1.category_id, t1.product_id, SUM(t2.phone) as sum_phone FROM project.dataset.products t1 LEFT JOIN project.dataset.customer_contacts t2 ON t1.category_id = t2.customer_id GROUP BY t1.unit_price, t1.category_id, t1.product_id ORDER BY sum_phone DESC;","This SQL query selects unit_price, category_id, product_id from the products table and computes the sum of phone from the customer_contacts table as sum_phone. It performs a left join join between the products and customer_contacts tables on the relevant fields, groups the results by the selected columns, and orders the results by sum_phone in desc order.","['`project.dataset.products`', '`project.dataset.customer_contacts`']","[{""left_table"": ""project.dataset.products"", ""left_column"": ""category_id"", ""right_table"": ""project.dataset.customer_contacts"", ""right_column"": ""customer_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""products"", ""customer_contacts""]","[{""left_table"": ""products"", ""right_table"": ""customer_contacts"", ""left_column"": ""category_id"", ""right_column"": ""customer_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.quantity, t1.unit_price, AVG(t2.first_name) as avg_first_name FROM project.dataset.order_details t1 RIGHT JOIN project.dataset.employees t2 ON t1.detail_id = t2.employee_id GROUP BY t1.quantity, t1.unit_price ORDER BY avg_first_name DESC;","This SQL query selects quantity, unit_price from the order_details table and computes the avg of first_name from the employees table as avg_first_name. It performs a right join join between the order_details and employees tables on the relevant fields, groups the results by the selected columns, and orders the results by avg_first_name in desc order.","['`project.dataset.order_details`', '`project.dataset.employees`']","[{""left_table"": ""project.dataset.order_details"", ""left_column"": ""detail_id"", ""right_table"": ""project.dataset.employees"", ""right_column"": ""employee_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""order_details"", ""employees""]","[{""left_table"": ""order_details"", ""right_table"": ""employees"", ""left_column"": ""detail_id"", ""right_column"": ""employee_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.phone, t1.customer_id, SUM(t2.movement_type) as sum_movement_type FROM project.dataset.customer_contacts t1 RIGHT JOIN project.dataset.inventory_movements t2 ON t1.contact_id = t2.movement_id GROUP BY t1.phone, t1.customer_id ORDER BY sum_movement_type ASC;","This SQL query selects phone, customer_id from the customer_contacts table and computes the sum of movement_type from the inventory_movements table as sum_movement_type. It performs a right join join between the customer_contacts and inventory_movements tables on the relevant fields, groups the results by the selected columns, and orders the results by sum_movement_type in asc order.","['`project.dataset.customer_contacts`', '`project.dataset.inventory_movements`']","[{""left_table"": ""project.dataset.customer_contacts"", ""left_column"": ""contact_id"", ""right_table"": ""project.dataset.inventory_movements"", ""right_column"": ""movement_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""customer_contacts"", ""inventory_movements""]","[{""left_table"": ""customer_contacts"", ""right_table"": ""inventory_movements"", ""left_column"": ""contact_id"", ""right_column"": ""movement_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.amount, t1.order_id, t1.payment_method, MIN(t2.tracking_number) as min_tracking_number FROM project.dataset.payments t1 INNER JOIN project.dataset.shipments t2 ON t1.order_id = t2.order_id GROUP BY t1.amount, t1.order_id, t1.payment_method ORDER BY min_tracking_number ASC;","This SQL query selects amount, order_id, payment_method from the payments table and computes the min of tracking_number from the shipments table as min_tracking_number. It performs a inner join join between the payments and shipments tables on the relevant fields, groups the results by the selected columns, and orders the results by min_tracking_number in asc order.","['`project.dataset.payments`', '`project.dataset.shipments`']","[{""left_table"": ""project.dataset.payments"", ""left_column"": ""order_id"", ""right_table"": ""project.dataset.shipments"", ""right_column"": ""order_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""payments"", ""shipments""]","[{""left_table"": ""payments"", ""right_table"": ""shipments"", ""left_column"": ""order_id"", ""right_column"": ""order_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.city, t1.state, COUNT(t2.address) as count_address FROM project.dataset.suppliers t1 RIGHT JOIN project.dataset.locations t2 ON t1.supplier_id = t2.location_id GROUP BY t1.city, t1.state ORDER BY count_address DESC;","This SQL query selects city, state from the suppliers table and computes the count of address from the locations table as count_address. It performs a right join join between the suppliers and locations tables on the relevant fields, groups the results by the selected columns, and orders the results by count_address in desc order.","['`project.dataset.suppliers`', '`project.dataset.locations`']","[{""left_table"": ""project.dataset.suppliers"", ""left_column"": ""supplier_id"", ""right_table"": ""project.dataset.locations"", ""right_column"": ""location_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""suppliers"", ""locations""]","[{""left_table"": ""suppliers"", ""right_table"": ""locations"", ""left_column"": ""supplier_id"", ""right_column"": ""location_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.warehouse_id, t1.stock_level, SUM(t2.state) as sum_state FROM project.dataset.inventory t1 INNER JOIN project.dataset.customers t2 ON t1.inventory_id = t2.customer_id GROUP BY t1.warehouse_id, t1.stock_level ORDER BY t1.stock_level DESC;","This SQL query selects warehouse_id, stock_level from the inventory table and computes the sum of state from the customers table as sum_state. It performs a inner join join between the inventory and customers tables on the relevant fields, groups the results by the selected columns, and orders the results by stock_level in desc order.","['`project.dataset.inventory`', '`project.dataset.customers`']","[{""left_table"": ""project.dataset.inventory"", ""left_column"": ""inventory_id"", ""right_table"": ""project.dataset.customers"", ""right_column"": ""customer_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""inventory"", ""customers""]","[{""left_table"": ""inventory"", ""right_table"": ""customers"", ""left_column"": ""inventory_id"", ""right_column"": ""customer_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.preferred_contact_method, t1.customer_id, t1.phone, AVG(t2.amount) as avg_amount FROM project.dataset.customer_contacts t1 INNER JOIN project.dataset.orders t2 ON t1.customer_id = t2.customer_id GROUP BY t1.preferred_contact_method, t1.customer_id, t1.phone ORDER BY avg_amount DESC;","This SQL query selects preferred_contact_method, customer_id, phone from the customer_contacts table and computes the avg of amount from the orders table as avg_amount. It performs a inner join join between the customer_contacts and orders tables on the relevant fields, groups the results by the selected columns, and orders the results by avg_amount in desc order.","['`project.dataset.customer_contacts`', '`project.dataset.orders`']","[{""left_table"": ""project.dataset.customer_contacts"", ""left_column"": ""customer_id"", ""right_table"": ""project.dataset.orders"", ""right_column"": ""customer_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""customer_contacts"", ""orders""]","[{""left_table"": ""customer_contacts"", ""right_table"": ""orders"", ""left_column"": ""customer_id"", ""right_column"": ""customer_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.status, t1.amount, t1.order_id, COUNT(*) as count_supplier_name FROM project.dataset.orders t1 INNER JOIN project.dataset.suppliers t2 ON t1.order_id = t2.supplier_id GROUP BY t1.status, t1.amount, t1.order_id ORDER BY count_supplier_name DESC;","This SQL query selects status, amount, order_id from the orders table and computes the aggregate of all rows from the suppliers table as None. It performs a inner join join between the orders and suppliers tables on the relevant fields, groups the results by the selected columns, and orders the results by count_supplier_name in desc order.","['`project.dataset.orders`', '`project.dataset.suppliers`']","[{""left_table"": ""project.dataset.orders"", ""left_column"": ""order_id"", ""right_table"": ""project.dataset.suppliers"", ""right_column"": ""supplier_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""orders"", ""suppliers""]","[{""left_table"": ""orders"", ""right_table"": ""suppliers"", ""left_column"": ""order_id"", ""right_column"": ""supplier_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.zip_code, t1.state, t1.address, MIN(t2.return_date) as min_return_date FROM project.dataset.locations t1 LEFT JOIN project.dataset.return_orders t2 ON t1.location_id = t2.order_id GROUP BY t1.zip_code, t1.state, t1.address ORDER BY t1.state DESC;","This SQL query selects zip_code, state, address from the locations table and computes the min of return_date from the return_orders table as min_return_date. It performs a left join join between the locations and return_orders tables on the relevant fields, groups the results by the selected columns, and orders the results by state in desc order.","['`project.dataset.locations`', '`project.dataset.return_orders`']","[{""left_table"": ""project.dataset.locations"", ""left_column"": ""location_id"", ""right_table"": ""project.dataset.return_orders"", ""right_column"": ""order_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""locations"", ""return_orders""]","[{""left_table"": ""locations"", ""right_table"": ""return_orders"", ""left_column"": ""location_id"", ""right_column"": ""order_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.customer_id, t1.phone, MAX(t2.amount) as max_amount FROM project.dataset.customer_contacts t1 RIGHT JOIN project.dataset.payments t2 ON t1.contact_id = t2.payment_id GROUP BY t1.customer_id, t1.phone ORDER BY t1.customer_id DESC;","This SQL query selects customer_id, phone from the customer_contacts table and computes the max of amount from the payments table as max_amount. It performs a right join join between the customer_contacts and payments tables on the relevant fields, groups the results by the selected columns, and orders the results by customer_id in desc order.","['`project.dataset.customer_contacts`', '`project.dataset.payments`']","[{""left_table"": ""project.dataset.customer_contacts"", ""left_column"": ""contact_id"", ""right_table"": ""project.dataset.payments"", ""right_column"": ""payment_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""customer_contacts"", ""payments""]","[{""left_table"": ""customer_contacts"", ""right_table"": ""payments"", ""left_column"": ""contact_id"", ""right_column"": ""payment_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.order_date, t1.order_id, t1.status, MIN(t2.unit_price) as min_unit_price FROM project.dataset.orders t1 RIGHT JOIN project.dataset.products t2 ON t1.customer_id = t2.category_id GROUP BY t1.order_date, t1.order_id, t1.status ORDER BY t1.status ASC;","This SQL query selects order_date, order_id, status from the orders table and computes the min of unit_price from the products table as min_unit_price. It performs a right join join between the orders and products tables on the relevant fields, groups the results by the selected columns, and orders the results by status in asc order.","['`project.dataset.orders`', '`project.dataset.products`']","[{""left_table"": ""project.dataset.orders"", ""left_column"": ""customer_id"", ""right_table"": ""project.dataset.products"", ""right_column"": ""category_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""orders"", ""products""]","[{""left_table"": ""orders"", ""right_table"": ""products"", ""left_column"": ""customer_id"", ""right_column"": ""category_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.payment_date, t1.order_id, SUM(t2.address) as sum_address FROM project.dataset.payments t1 RIGHT JOIN project.dataset.locations t2 ON t1.payment_id = t2.location_id GROUP BY t1.payment_date, t1.order_id ORDER BY sum_address ASC;","This SQL query selects payment_date, order_id from the payments table and computes the sum of address from the locations table as sum_address. It performs a right join join between the payments and locations tables on the relevant fields, groups the results by the selected columns, and orders the results by sum_address in asc order.","['`project.dataset.payments`', '`project.dataset.locations`']","[{""left_table"": ""project.dataset.payments"", ""left_column"": ""payment_id"", ""right_table"": ""project.dataset.locations"", ""right_column"": ""location_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""payments"", ""locations""]","[{""left_table"": ""payments"", ""right_table"": ""locations"", ""left_column"": ""payment_id"", ""right_column"": ""location_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.customer_id, t1.preferred_contact_method, t1.email, AVG(t2.stock) as avg_stock FROM project.dataset.customer_contacts t1 INNER JOIN project.dataset.products t2 ON t1.contact_id = t2.product_id GROUP BY t1.customer_id, t1.preferred_contact_method, t1.email ORDER BY t1.preferred_contact_method ASC;","This SQL query selects customer_id, preferred_contact_method, email from the customer_contacts table and computes the avg of stock from the products table as avg_stock. It performs a inner join join between the customer_contacts and products tables on the relevant fields, groups the results by the selected columns, and orders the results by preferred_contact_method in asc order.","['`project.dataset.customer_contacts`', '`project.dataset.products`']","[{""left_table"": ""project.dataset.customer_contacts"", ""left_column"": ""contact_id"", ""right_table"": ""project.dataset.products"", ""right_column"": ""product_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""customer_contacts"", ""products""]","[{""left_table"": ""customer_contacts"", ""right_table"": ""products"", ""left_column"": ""contact_id"", ""right_column"": ""product_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.carrier, t1.order_id, t1.shipment_id, MAX(t2.department_name) as max_department_name FROM project.dataset.shipments t1 LEFT JOIN project.dataset.departments t2 ON t1.order_id = t2.department_id GROUP BY t1.carrier, t1.order_id, t1.shipment_id ORDER BY max_department_name ASC;","This SQL query selects carrier, order_id, shipment_id from the shipments table and computes the max of department_name from the departments table as max_department_name. It performs a left join join between the shipments and departments tables on the relevant fields, groups the results by the selected columns, and orders the results by max_department_name in asc order.","['`project.dataset.shipments`', '`project.dataset.departments`']","[{""left_table"": ""project.dataset.shipments"", ""left_column"": ""order_id"", ""right_table"": ""project.dataset.departments"", ""right_column"": ""department_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""shipments"", ""departments""]","[{""left_table"": ""shipments"", ""right_table"": ""departments"", ""left_column"": ""order_id"", ""right_column"": ""department_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.phone, t1.customer_id, t1.contact_id, MAX(t2.description) as max_description FROM project.dataset.customer_contacts t1 RIGHT JOIN project.dataset.categories t2 ON t1.customer_id = t2.category_id GROUP BY t1.phone, t1.customer_id, t1.contact_id ORDER BY t1.contact_id ASC;","This SQL query selects phone, customer_id, contact_id from the customer_contacts table and computes the max of description from the categories table as max_description. It performs a right join join between the customer_contacts and categories tables on the relevant fields, groups the results by the selected columns, and orders the results by contact_id in asc order.","['`project.dataset.customer_contacts`', '`project.dataset.categories`']","[{""left_table"": ""project.dataset.customer_contacts"", ""left_column"": ""customer_id"", ""right_table"": ""project.dataset.categories"", ""right_column"": ""category_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""customer_contacts"", ""categories""]","[{""left_table"": ""customer_contacts"", ""right_table"": ""categories"", ""left_column"": ""customer_id"", ""right_column"": ""category_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
