query,description
"SELECT t1.last_updated, t1.stock_level, AVG(t2.movement_type) as avg_movement_type FROM inventory t1 LEFT JOIN inventory_movements t2 ON t1.inventory_id = t2.inventory_id GROUP BY t1.last_updated, t1.stock_level ORDER BY avg_movement_type DESC;","This SQL query retrieves the last updated timestamp and stock level from the inventory table (t1), along with the average movement type (either 'incoming' or 'outgoing') for each inventory item, calculated by joining it with the inventory movements table (t2). The results are grouped by last updated time and stock level, sorted in descending order based on the average movement type. This helps businesses monitor their inventory levels and track changes over time."
"SELECT t1.customer_id, t1.city, COUNT(*) as count_last_updated FROM customers t1 RIGHT JOIN inventory t2 ON t1.customer_id = t2.warehouse_id GROUP BY t1.customer_id, t1.city ORDER BY count_last_updated DESC;","This query retrieves a list of customer IDs and cities from the customers table (t1), along with the total number of times each city's data was updated in the inventory table (t2). It orders the results by the frequency of updates, showing which locations have had the most recent changes."
"SELECT t1.category_name, t1.category_id, COUNT(*) as count_movement_type FROM categories t1 LEFT JOIN inventory_movements t2 ON t1.category_id = t2.inventory_id GROUP BY t1.category_name, t1.category_id ORDER BY t1.category_id ASC;","This SQL query retrieves the category name and ID from the 'categories' table, along with a count of associated inventory movements for each category. It groups the results by category name and ID, then orders them in ascending order based on category ID. The purpose is to analyze inventory movement patterns across different categories."
"SELECT t1.state, t1.supplier_name, MIN(t2.refund_amount) as min_refund_amount FROM suppliers t1 INNER JOIN return_orders t2 ON t1.supplier_id = t2.return_id GROUP BY t1.state, t1.supplier_name ORDER BY min_refund_amount ASC;","This SQL query retrieves the state and supplier name from the 'suppliers' table, along with the minimum refund amount for each supplier-state combination by joining it with the 'return_orders' table on their respective IDs. The results are grouped by state and supplier name and ordered in ascending order based on the minimum refund amount."
"SELECT t1.address, t1.state, t1.zip_code, COUNT(*) as count_tracking_number FROM locations t1 RIGHT JOIN shipments t2 ON t1.location_id = t2.shipment_id GROUP BY t1.address, t1.state, t1.zip_code ORDER BY t1.state ASC;","This SQL query retrieves the address, state, and zip code of locations along with a count of associated shipments for each location. It groups results by address, state, and zip code in ascending order based on state to provide insights into tracking numbers' distribution across different locations.

Key tables: 
- locations (t1)
- shipments (t2)

Metrics: 
- count_tracking_number (COUNT(*))"
"SELECT t1.department_id, t1.department_name, MIN(t2.hire_date) as min_hire_date FROM departments t1 INNER JOIN employees t2 ON t1.department_id = t2.department_id GROUP BY t1.department_id, t1.department_name ORDER BY t1.department_id DESC;","This query retrieves the department ID and name along with the earliest hire date for each department by joining the departments and employees tables on their respective department IDs. It groups the results by department and orders them in descending order based on department ID. The key metric is the minimum hire date per department, which can help identify when a department was first staffed."
"SELECT t1.location_id, t1.department_id, t1.department_name, COUNT(t2.hire_date) as count_hire_date FROM departments t1 RIGHT JOIN employees t2 ON t1.department_id = t2.department_id GROUP BY t1.location_id, t1.department_id, t1.department_name ORDER BY count_hire_date ASC;","This SQL query retrieves the location ID, department ID, and department name from the departments table (t1), along with a count of employee hire dates for each department in that location, by joining it with the employees table (t2) on their common department_id. The results are grouped by location, department, and department name, ordered by the number of hires in ascending order."
"SELECT t1.shipment_id, t1.shipment_date, MAX(t2.unit_price) as max_unit_price FROM shipments t1 RIGHT JOIN order_details t2 ON t1.order_id = t2.order_id GROUP BY t1.shipment_id, t1.shipment_date ORDER BY max_unit_price DESC;","This SQL query retrieves the shipment ID and date for each shipment along with the maximum unit price of products in that shipment from a 'shipments' table joined to an 'order_details' table, grouping by shipment ID and date. The results are ordered by the highest unit price first."
"SELECT t1.department_id, t1.last_name, t1.hire_date, AVG(t2.stock) as avg_stock FROM employees t1 LEFT JOIN products t2 ON t1.employee_id = t2.product_id GROUP BY t1.department_id, t1.last_name, t1.hire_date ORDER BY t1.department_id DESC;","This SQL query retrieves the department ID, last name, and hire date of employees from the 'employees' table, along with the average stock value for each employee (grouped by their respective department) obtained from a left join on the 'products' table. The results are ordered by department ID in descending order."
"SELECT t1.hire_date, t1.first_name, t1.last_name, AVG(t2.email) as avg_email FROM employees t1 RIGHT JOIN customer_contacts t2 ON t1.department_id = t2.contact_id GROUP BY t1.hire_date, t1.first_name, t1.last_name ORDER BY avg_email DESC;","This SQL query retrieves the hire date and names of employees from the 'employees' table, while also calculating the average email address length for each employee by joining with the 'customer_contacts' table based on department ID. It then groups the results by hire date, first name, and last name, and orders them in descending order according to the calculated average email length."
"SELECT t1.zip_code, t1.state, AVG(t2.email) as avg_email FROM locations t1 RIGHT JOIN customers t2 ON t1.location_id = t2.customer_id GROUP BY t1.zip_code, t1.state ORDER BY avg_email ASC;","This SQL query calculates the average email length for each unique zip code and state combination in the locations table by joining it with the customers table on their respective IDs, then sorts the results in ascending order based on the calculated average email length. The key tables involved are 'locations' (t1) and 'customers' (t2), while the metric of interest is the average email length."
"SELECT t1.city, t1.state, COUNT(t2.return_date) as count_return_date FROM suppliers t1 RIGHT JOIN return_orders t2 ON t1.supplier_id = t2.order_id GROUP BY t1.city, t1.state ORDER BY t1.state DESC;","This SQL query retrieves the city and state of each supplier along with the total number of associated return dates from the 'return_orders' table, grouping results by city and state in descending order based on state. It helps to analyze the distribution of returned orders across different cities and states for suppliers."
"SELECT t1.inventory_id, t1.movement_id, SUM(t2.city) as sum_city FROM inventory_movements t1 LEFT JOIN customers t2 ON t1.inventory_id = t2.customer_id GROUP BY t1.inventory_id, t1.movement_id ORDER BY sum_city ASC;","This SQL query retrieves the total number of cities associated with each inventory movement by joining the 'inventory_movements' and 'customers' tables on their respective IDs. It groups the results by inventory ID and movement ID, then orders them in ascending order based on the summed city count."
"SELECT t1.price, t1.quantity, MAX(t2.unit_price) as max_unit_price FROM sales t1 INNER JOIN products t2 ON t1.product_id = t2.product_id GROUP BY t1.price, t1.quantity ORDER BY t1.quantity DESC;","This SQL query retrieves the price and quantity of each product sold from the 'sales' table (t1), along with the maximum unit price for that product from the 'products' table (t2). It groups the results by price and quantity, then orders them in descending order based on quantity."
"SELECT t1.unit_price, t1.stock, MAX(t2.shipment_date) as max_shipment_date FROM products t1 LEFT JOIN shipments t2 ON t1.product_id = t2.order_id GROUP BY t1.unit_price, t1.stock ORDER BY max_shipment_date DESC;","This SQL query retrieves the unit price and stock quantity of each product from the 'products' table, along with the latest shipment date for that product from the 'shipments' table, grouping results by unit price and stock level. The data is then ordered in descending order based on the most recent shipment date."
"SELECT t1.refund_amount, t1.status, t1.return_date, MIN(t2.carrier) as min_carrier FROM return_orders t1 LEFT JOIN shipments t2 ON t1.order_id = t2.order_id GROUP BY t1.refund_amount, t1.status, t1.return_date ORDER BY t1.return_date DESC;","This SQL query retrieves the refund amount, status, and return date of each order from the 'return_orders' table, along with the minimum carrier associated with that order (from the 'shipments' table), grouped by refund amount, status, and return date. The results are ordered in descending order based on the return date."
"SELECT t1.customer_id, t1.preferred_contact_method, t1.email, AVG(t2.unit_price) as avg_unit_price FROM customer_contacts t1 INNER JOIN order_details t2 ON t1.customer_id = t2.order_id GROUP BY t1.customer_id, t1.preferred_contact_method, t1.email ORDER BY avg_unit_price DESC;","This query retrieves the customer ID, preferred contact method, and email from the 'customer_contacts' table, along with the average unit price of their orders from the 'order_details' table, grouping by each unique combination of these attributes. It then sorts the results in descending order based on the calculated average unit price to identify customers who spend more on average per purchase."
"SELECT t1.movement_id, t1.movement_date, SUM(t2.carrier) as sum_carrier FROM inventory_movements t1 RIGHT JOIN shipments t2 ON t1.movement_id = t2.shipment_id GROUP BY t1.movement_id, t1.movement_date ORDER BY t1.movement_date DESC;","This SQL query retrieves the movement ID and date for each inventory movement, along with the total carrier count (sum of carriers) from shipments related to that movement. It groups the results by movement ID and date, displaying them in descending order based on the movement date. The key tables involved are 'inventory_movements' and 'shipments'."
"SELECT t1.department_id, t1.department_name, t1.location_id, MAX(t2.payment_date) as max_payment_date FROM departments t1 RIGHT JOIN payments t2 ON t1.location_id = t2.order_id GROUP BY t1.department_id, t1.department_name, t1.location_id ORDER BY max_payment_date ASC;","This SQL query retrieves the department ID, name, and location ID along with the most recent payment date for each department by joining the departments table (t1) with the payments table (t2), where their locations match. The results are grouped and ordered by the latest payment date in ascending order."
"SELECT t1.detail_id, t1.product_id, t1.quantity, SUM(t2.zip_code) as sum_zip_code FROM order_details t1 LEFT JOIN locations t2 ON t1.product_id = t2.location_id GROUP BY t1.detail_id, t1.product_id, t1.quantity ORDER BY t1.product_id DESC;","This SQL query retrieves the detail ID, product ID, and quantity of each order from the 'order_details' table, along with the sum of zip codes for corresponding locations from the 'locations' table (using a left join). It groups the results by detail ID, product ID, and quantity, then orders them in descending order based on product ID. The purpose is to analyze sales data by product while considering associated location information."
"SELECT t1.product_id, t1.stock_level, t1.warehouse_id, MIN(t2.city) as min_city FROM inventory t1 RIGHT JOIN suppliers t2 ON t1.product_id = t2.supplier_id GROUP BY t1.product_id, t1.stock_level, t1.warehouse_id ORDER BY min_city ASC;","This SQL query retrieves the product ID, stock level, and warehouse ID from the inventory table, along with the minimum city name associated with each product through a right join on suppliers based on matching product IDs. The results are grouped by product ID, stock level, and warehouse ID, ordered ascendingly by the minimum city name."
"SELECT t1.sale_id, t1.quantity, t1.price, MAX(t2.movement_type) as max_movement_type FROM sales t1 INNER JOIN inventory_movements t2 ON t1.product_id = t2.inventory_id GROUP BY t1.sale_id, t1.quantity, t1.price ORDER BY t1.quantity DESC;","This SQL query retrieves the sale ID, quantity sold, and price for each product from the sales table (t1), along with the maximum movement type in the inventory movements table (t2) where the product IDs match. The results are grouped by sale ID, sorted by quantity in descending order."
"SELECT t1.payment_id, t1.amount, t1.order_id, SUM(t2.movement_date) as sum_movement_date FROM payments t1 LEFT JOIN inventory_movements t2 ON t1.order_id = t2.movement_id GROUP BY t1.payment_id, t1.amount, t1.order_id ORDER BY sum_movement_date DESC;","This SQL query retrieves payment details (payment ID, amount, and order ID) from the payments table, along with the total count of inventory movement dates associated with each payment's corresponding order by joining it with the inventory movements table. The results are grouped by payment ID, amount, and order ID, and ordered in descending order based on the sum of movement dates for each payment."
"SELECT t1.sale_date, t1.price, COUNT(t2.payment_date) as count_payment_date FROM sales t1 INNER JOIN payments t2 ON t1.product_id = t2.order_id GROUP BY t1.sale_date, t1.price ORDER BY count_payment_date DESC;","This SQL query retrieves the sale date and price from the sales table (t1), along with a count of payment dates associated with each sale in the payments table (t2) based on matching product IDs. It groups the results by sale date and price, ordering them in descending order based on the number of related payment dates. The purpose is to analyze sales data for insights into transaction frequency and pricing trends."
"SELECT t1.tracking_number, t1.order_id, MIN(t2.movement_date) as min_movement_date FROM shipments t1 LEFT JOIN inventory_movements t2 ON t1.order_id = t2.movement_id GROUP BY t1.tracking_number, t1.order_id ORDER BY min_movement_date DESC;","This SQL query retrieves the tracking number and order ID for each shipment along with the earliest movement date from inventory movements (t2) associated with that specific order (t1), grouping results by tracking number and order ID, and ordering them in descending order based on the minimum movement date. The key tables involved are 'shipments' (t1) and 'inventory_movements' (t2)."
"SELECT t1.amount, t1.payment_method, MIN(t2.carrier) as min_carrier FROM payments t1 RIGHT JOIN shipments t2 ON t1.order_id = t2.order_id GROUP BY t1.amount, t1.payment_method ORDER BY min_carrier ASC;","This SQL query retrieves the amount and payment method of each order from the payments table, along with the carrier associated with that order in the shipments table (using a right join to include all orders), then groups the results by amount and payment method. It also selects the minimum carrier for each group and sorts the output by this minimum carrier in ascending order. The purpose is likely to analyze payment methods and carriers used, identifying any patterns or trends related to these metrics."
"SELECT t1.amount, t1.payment_id, t1.order_id, MAX(t2.description) as max_description FROM payments t1 RIGHT JOIN categories t2 ON t1.payment_id = t2.category_id GROUP BY t1.amount, t1.payment_id, t1.order_id ORDER BY t1.order_id DESC;","This SQL query retrieves the amount and payment details for each order, along with the maximum category description associated with each payment, by joining payments (t1) and categories (t2) tables on their respective IDs, grouping results by amount, payment ID, and order ID, and ordering them in descending order based on order ID. The purpose is to analyze payment details within orders while considering related category descriptions."
"SELECT t1.last_name, t1.department_id, t1.hire_date, COUNT(*) as count_stock_level FROM employees t1 RIGHT JOIN inventory t2 ON t1.department_id = t2.inventory_id GROUP BY t1.last_name, t1.department_id, t1.hire_date ORDER BY t1.hire_date DESC;","This SQL query retrieves the last name, department ID, and hire date of employees from the 'employees' table, along with a count of their associated inventory items in the 'inventory' table (if any), grouped by employee details and sorted by most recent hire date. It helps to analyze stock levels per employee across departments over time."
"SELECT t1.supplier_name, t1.state, SUM(t2.department_name) as sum_department_name FROM suppliers t1 INNER JOIN departments t2 ON t1.supplier_id = t2.location_id GROUP BY t1.supplier_name, t1.state ORDER BY sum_department_name ASC;","This SQL query retrieves the total number of distinct department names associated with each supplier and state from a join between the 'suppliers' and 'departments' tables, grouping by supplier name and state, and orders the results in ascending order based on the sum of department names."
"SELECT t1.status, t1.amount, COUNT(t2.return_date) as count_return_date FROM orders t1 INNER JOIN return_orders t2 ON t1.order_id = t2.order_id GROUP BY t1.status, t1.amount ORDER BY count_return_date DESC;","This query retrieves the status and amount of each order from the 'orders' table, along with a count of associated return dates from the 'return_orders' table, grouped by order status and amount. It orders the results in descending order based on the number of return dates for each order."
"SELECT t1.state, t1.zip_code, AVG(t2.carrier) as avg_carrier FROM locations t1 RIGHT JOIN shipments t2 ON t1.location_id = t2.order_id GROUP BY t1.state, t1.zip_code ORDER BY t1.zip_code DESC;","This SQL query calculates the average carrier for each state and zip code by joining locations with shipments on their respective IDs, then groups the results by state and zip code in descending order of zip codes. The result helps analyze shipping patterns across different regions.

Key tables: locations (t1), shipments (t2)
Metrics: average carrier per state/zip code, grouped by state and zip code, sorted by zip code in descending order."
"SELECT t1.category_name, t1.description, MAX(t2.unit_price) as max_unit_price FROM categories t1 INNER JOIN products t2 ON t1.category_id = t2.category_id GROUP BY t1.category_name, t1.description ORDER BY t1.description DESC;","This SQL query retrieves the maximum unit price for each product category along with its name and description from a joined 'categories' and 'products' table, then sorts the results by category description in descending order. The key metrics are category_name, description, and max_unit_price."
"SELECT t1.category_id, t1.stock, AVG(t2.return_date) as avg_return_date FROM products t1 LEFT JOIN return_orders t2 ON t1.product_id = t2.order_id GROUP BY t1.category_id, t1.stock ORDER BY avg_return_date DESC;","This SQL query retrieves the average return date and stock levels for each product category by joining products table with a returns orders table on their respective IDs. The results are grouped by category ID and stock level, then ordered in descending order based on the calculated average return date."
"SELECT t1.order_id, t1.payment_date, t1.amount, MAX(t2.status) as max_status FROM payments t1 RIGHT JOIN return_orders t2 ON t1.order_id = t2.order_id GROUP BY t1.order_id, t1.payment_date, t1.amount ORDER BY max_status DESC;","This SQL query retrieves the order ID, payment date, and amount from a payments table (t1), while also obtaining the latest status of each order by performing a right join with a return orders table (t2) on their common order IDs. The results are grouped by order ID, payment date, and amount, and sorted in descending order based on the maximum status value obtained from t2. This helps identify any outstanding or resolved issues related to specific payments."
"SELECT t1.status, t1.customer_id, MIN(t2.stock_level) as min_stock_level FROM orders t1 LEFT JOIN inventory t2 ON t1.customer_id = t2.warehouse_id GROUP BY t1.status, t1.customer_id ORDER BY min_stock_level DESC;","This SQL query retrieves the minimum stock level for each customer's order status and customer ID by joining orders (t1) with inventory (t2) on matching warehouse IDs, grouping the results by status and customer ID, and ordering them in descending order based on the lowest stock levels. The key metrics are the order status, customer ID, and minimum stock level for each group."
"SELECT t1.quantity, t1.product_id, AVG(t2.refund_amount) as avg_refund_amount FROM order_details t1 RIGHT JOIN return_orders t2 ON t1.order_id = t2.order_id GROUP BY t1.quantity, t1.product_id ORDER BY avg_refund_amount ASC;","This SQL query retrieves the quantity and product ID from order details table (t1) and calculates the average refund amount for each unique combination of quantity and product ID by joining it with return orders table (t2). The results are grouped by quantity and product ID, sorted in ascending order based on the calculated average refund amount. This helps businesses understand their products' refund patterns and identify potential issues or opportunities for improvement."
"SELECT t1.sale_id, t1.product_id, t1.quantity, AVG(t2.preferred_contact_method) as avg_preferred_contact_method FROM sales t1 INNER JOIN customer_contacts t2 ON t1.product_id = t2.contact_id GROUP BY t1.sale_id, t1.product_id, t1.quantity ORDER BY avg_preferred_contact_method DESC;","This SQL query retrieves the sale ID, product ID, and quantity of each sale from the 'sales' table, along with the average preferred contact method for those products by joining it with the 'customer_contacts' table. It groups the results by sale ID, product ID, and quantity, then orders them in descending order based on the average preferred contact method."
